date;sku;units_sold;stock;is_open;is_holiday;is_prom;units_sold_last_year;units_sold_last_quarter;units_sold_last_month;units_sold_last_week;units_sold_last_52_weeks;units_sold_last_12_weeks;units_sold_last_8_weeks;units_sold_last_4_weeks;units_sold_last_day;units_sold_original
2019-02-10;44;0.0;0.0;0;1;0;;;0.0;0.0;;;;0.0;28.0;0
2019-02-10;45;0.0;0.0;0;1;1;;;8.0;0.0;;;;0.0;0.0;0
2019-02-10;46;0.0;0.0;0;1;0;;;4.0;0.0;;;;0.0;8.0;0
2019-02-10;47;0.0;0.0;0;1;0;;;0.0;0.0;;;;0.0;0.0;0
2019-02-10;48;0.0;0.0;0;1;0;;;8.0;0.0;;;;0.0;16.0;0
2019-02-10;49;0.0;0.0;0;1;0;;;16.0;0.0;;;;0.0;0.0;0
2019-02-10;50;0.0;0.0;0;1;1;;;4.0;0.0;;;;0.0;28.0;0
2019-02-11;1;20.0;0.0;1;0;0;;;20.0;12.0;;;;20.0;0.0;20
2019-02-11;2;0.0;0.0;1;0;0;;;4.0;12.0;;;;8.0;0.0;0
2019-02-11;3;4.0;0.0;1;0;0;;;4.0;0.0;;;;4.0;0.0;4
2019-02-11;4;28.0;0.0;1;0;0;;;20.0;8.0;;;;20.0;0.0;28
2019-02-11;5;4.0;0.0;1;0;0;;;8.0;8.0;;;;4.0;0.0;4
2019-02-11;6;8.0;0.0;1;0;0;;;12.0;8.0;;;;0.0;0.0;8
2019-02-11;7;0.0;0.0;1;0;0;;;12.0;12.0;;;;8.0;0.0;0
2019-02-11;8;44.0;0.0;1;0;0;;;16.0;8.0;;;;8.0;0.0;44
2019-02-11;9;16.0;0.0;1;0;1;;;20.0;4.0;;;;16.0;0.0;16
2019-02-11;10;8.0;0.0;1;0;1;;;16.0;28.0;;;;16.0;4.0;8
2019-02-11;11;12.0;0.0;1;0;0;;;0.0;20.0;;;;0.0;0.0;12
2019-02-11;12;16.0;0.0;1;0;1;;;20.0;16.0;;;;28.0;8.0;16
2019-02-11;13;4.0;0.0;1;0;0;;;12.0;8.0;;;;8.0;0.0;4
2019-02-11;14;16.0;0.0;1;0;0;;;28.0;28.0;;;;20.0;0.0;16
2019-02-11;15;0.0;0.0;1;0;0;;;4.0;12.0;;;;4.0;0.0;0
2019-02-11;16;12.0;0.0;1;0;1;;;28.0;20.0;;;;4.0;0.0;12
2019-02-11;17;24.0;0.0;1;0;0;;;4.0;16.0;;;;12.0;0.0;24
2019-02-11;18;4.0;0.0;1;0;0;;;36.0;16.0;;;;12.0;0.0;4
2019-02-11;19;12.0;0.0;1;0;1;;;4.0;24.0;;;;12.0;4.0;12
2019-02-11;20;28.0;0.0;1;0;1;;;16.0;12.0;;;;32.0;0.0;28
2019-02-11;21;24.0;0.0;1;0;1;;;16.0;8.0;;;;8.0;0.0;24
2019-02-11;22;20.0;0.0;1;0;1;;;52.0;16.0;;;;16.0;20.0;20
2019-02-11;23;12.0;0.0;1;0;1;;;20.0;8.0;;;;12.0;12.0;12
2019-02-11;24;0.0;0.0;1;0;0;;;0.0;4.0;;;;12.0;0.0;0
2019-02-11;25;0.0;0.0;1;0;1;;;4.0;24.0;;;;12.0;4.0;0
2019-02-11;26;4.0;0.0;1;0;0;;;0.0;16.0;;;;4.0;0.0;4
2019-02-11;27;12.0;0.0;1;0;0;;;20.0;24.0;;;;12.0;0.0;12
