sku;fecha;udsStock
28;20200708;84
28;20200709;84
28;20200710;76
28;20200711;76
28;20200712;68
28;20200713;68
28;20200714;68
28;20200715;64
28;20200716;64
28;20200717;52
28;20200718;44
28;20200719;32
28;20200720;72
28;20200721;72
28;20200722;68
28;20200723;56
28;20200724;52
28;20200725;48
28;20200726;36
28;20200727;76
28;20200728;76
28;20200729;72
28;20200730;72
28;20200731;72
28;20200801;64
28;20200802;52
28;20200803;92
28;20200804;84
28;20200805;80
28;20200806;64
28;20200807;68
28;20200808;56
28;20200809;56
28;20200810;96
28;20200811;92
28;20200812;88
28;20200813;84
28;20200814;72
28;20200815;56
28;20200816;56
28;20200817;136
28;20200818;132
28;20200819;112
28;20200820;112
28;20200821;112
28;20200822;108
28;20200823;96
28;20200824;96
28;20200825;84
28;20200826;84
28;20200827;76
28;20200828;68
28;20200829;52
28;20200830;24
28;20200831;104
28;20200901;88
28;20200902;88
28;20200903;88
28;20200904;88
28;20200905;84
28;20200906;76
28;20200907;76
28;20200908;60
28;20200909;52
28;20200910;52
28;20200911;40
28;20200912;40
28;20200913;36
28;20200914;196
28;20200915;188
28;20200916;184
28;20200917;180
28;20200918;180
28;20200919;180
28;20200920;176
28;20200921;176
28;20200922;168
28;20200923;164
28;20200924;160
28;20200925;160
28;20200926;148
28;20200927;144
28;20200928;136
28;20200929;136
28;20200930;128
28;20201001;124
28;20201002;116
28;20201003;112
28;20201004;108
28;20201005;108
28;20201006;108
31;20210915;348
31;20210916;344
31;20210917;344
31;20210918;328
31;20210919;316
31;20210920;316
31;20210921;308
31;20210922;308
31;20210923;300
31;20210924;296
31;20210925;288
31;20210926;272
31;20210927;272
31;20210928;264
31;20210929;248
31;20210930;244
31;20211001;224
31;20211002;220
31;20211003;208
31;20211004;208
31;20211005;200
31;20211006;756
31;20211007;752
31;20211008;744
31;20211009;736
31;20211010;732
31;20211011;732
31;20211012;724
31;20211013;724
31;20211014;720
31;20211015;716
31;20211016;716
31;20211017;712
31;20211018;712
31;20211019;704
31;20211020;684
32;20200101;108
32;20200102;108
32;20200103;88
32;20200104;56
32;20200105;28
32;20200106;28
32;20200107;124
32;20200108;104
32;20200109;92
32;20200110;76
32;20200111;48
32;20200112;44
32;20200113;40
32;20200114;84
32;20200115;80
32;20200116;64
32;20200117;48
32;20200118;32
32;20200119;28
32;20200120;20
32;20200121;112
32;20200122;104
32;20200123;96
32;20200124;92
32;20200125;84
32;20200126;76
32;20200127;76
32;20200128;56
32;20200129;80
32;20200130;72
32;20200131;60
32;20200201;52
32;20200202;36
32;20200203;36
32;20200204;80
32;20200205;64
32;20200206;60
32;20200207;52
32;20200208;32
32;20200209;20
32;20200210;20
32;20200211;100
32;20200212;88
32;20200213;72
32;20200214;60
32;20200215;48
32;20200216;40
32;20200217;40
32;20200218;100
32;20200219;80
32;20200220;76
32;20200221;52
32;20200222;28
32;20200223;24
32;20200224;20
32;20200225;76
32;20200226;72
32;20200227;64
32;20200228;52
32;20200229;32
32;20200301;12
32;20200302;4
32;20200303;84
32;20200304;76
32;20200305;64
32;20200306;52
32;20200307;40
32;20200308;24
32;20200309;24
32;20200310;104
32;20200311;100
32;20200312;96
32;20200313;84
32;20200314;84
32;20200315;84
32;20200316;84
32;20200317;156
32;20200318;156
32;20200319;156
32;20200320;156
32;20200321;156
32;20200322;156
32;20200323;156
32;20200324;156
32;20200325;156
32;20200326;156
32;20200327;156
32;20200328;156
32;20200329;156
32;20200330;156
32;20200331;156
32;20200401;156
32;20200402;156
32;20200403;156
32;20200404;156
32;20200405;156
32;20200406;156
32;20200407;156
32;20200408;156
32;20200409;156
32;20200410;156
32;20200411;156
32;20200412;156
32;20200413;156
32;20200414;156
32;20200415;156
32;20200416;156
32;20200417;156
32;20200418;156
32;20200419;156
32;20200420;156
32;20200421;156
32;20200422;156
32;20200423;156
32;20200424;156
32;20200425;156
32;20200426;156
32;20200427;156
32;20200428;156
32;20200429;156
32;20200430;156
