sku;fecha;bolOpen;bolHoliday
12;20151011;1;0
12;20151013;1;0
12;20151014;1;0
12;20151015;1;0
12;20151012;1;0
12;20151016;1;0
12;20151018;1;0
12;20151017;1;0
12;20151019;1;0
12;20151020;1;0
12;20151021;1;0
12;20151023;1;0
12;20151022;1;0
12;20151024;1;0
12;20151025;1;0
12;20151026;1;0
12;20151027;1;0
12;20151029;1;0
12;20151030;1;0
12;20160105;1;0
12;20160112;1;0
12;20160114;1;0
12;20160115;1;0
12;20160116;1;0
12;20160117;1;0
12;20160118;1;0
12;20160119;1;0
12;20160120;1;0
12;20160121;1;0
12;20160122;1;0
12;20160123;1;0
12;20160124;1;0
12;20160125;1;0
12;20160126;1;0
12;20160127;1;0
12;20160128;1;0
12;20160131;1;0
12;20160201;1;0
12;20160129;1;0
12;20160130;1;0
12;20160202;1;0
12;20160203;1;0
12;20160204;1;0
12;20160205;1;0
12;20180622;1;0
12;20180623;1;0
12;20180624;1;0
12;20180625;1;0
12;20180313;1;0
12;20180626;1;0
12;20180627;1;0
12;20180628;1;0
12;20180629;1;0
12;20181107;1;0
12;20181108;1;0
12;20181109;1;0
12;20181110;1;0
12;20181111;1;0
12;20181112;1;0
12;20181113;1;0
12;20181114;1;0
12;20181115;1;0
12;20181116;1;0
12;20181117;1;0
12;20181118;1;0
12;20181225;1;0
12;20181226;1;0
12;20181227;1;0
12;20181228;1;0
12;20190224;1;0
12;20190225;1;0
12;20190226;1;0
12;20190619;1;0
12;20190620;1;0
12;20190621;1;0
12;20190623;1;0
12;20190624;1;0
12;20190625;1;0
12;20190622;1;0
12;20190626;1;0
12;20190629;1;0
12;20190627;1;0
12;20190628;1;0
12;20190630;1;0
12;20190701;1;0
12;20190702;1;0
12;20190703;1;0
12;20190704;1;0
12;20190706;1;0
12;20190705;1;0
12;20190707;1;0
12;20190709;1;0
12;20190710;1;0
12;20190711;1;0
12;20190712;1;0
12;20190708;1;0
12;20190713;1;0
12;20170628;1;0
12;20170629;1;0
12;20170630;1;0
12;20170701;1;0
12;20170702;1;0
12;20170703;1;0
12;20170704;1;0
12;20170705;1;0
12;20170706;1;0
12;20170707;1;0
12;20170708;1;0
12;20170709;1;0
12;20170710;1;0
12;20170711;1;0
12;20170712;1;0
12;20170713;1;0
12;20170714;1;0
12;20170715;1;0
12;20170716;1;0
12;20170717;1;0
12;20170718;1;0
12;20170719;1;0
12;20170720;1;0
12;20170721;1;0
12;20170722;1;0
12;20170423;1;0
12;20170424;1;0
12;20170425;1;0
12;20170426;1;0
12;20170427;1;0
12;20170428;1;0
12;20170429;1;0
12;20150224;1;0
12;20150225;1;0
12;20150226;1;0
12;20150228;1;0
12;20150301;1;0
12;20150227;1;0
12;20150302;1;0
12;20150303;1;0
12;20150304;1;0
12;20150211;1;0
12;20150212;1;0
12;20150526;1;0
12;20150603;1;0
12;20150604;1;0
12;20150605;1;0
12;20150606;1;0
12;20150607;1;0
12;20150608;1;0
12;20150609;1;0
12;20150610;1;0
12;20150615;1;0
12;20150616;1;0
12;20150617;1;0
12;20150618;1;0
12;20150619;1;0
12;20150620;1;0
12;20150621;1;0
12;20150622;1;0
12;20150611;1;0
12;20150612;1;0
12;20150623;1;0
12;20150624;1;0
12;20150625;1;0
12;20150613;1;0
12;20150614;1;0
12;20150626;1;0
12;20150723;1;0
12;20150724;1;0
12;20150725;1;0
12;20150726;1;0
12;20150727;1;0
12;20150728;1;0
12;20150729;1;0
12;20150712;1;0
12;20150730;1;0
12;20150802;1;0
12;20150803;1;0
12;20150804;1;0
12;20150805;1;0
12;20150806;1;0
12;20150807;1;0
12;20150808;1;0
12;20150809;1;0
12;20150810;1;0
12;20150811;1;0
12;20150812;1;0
12;20150731;1;0
12;20150801;1;0
12;20150813;1;0
12;20150814;1;0
12;20150815;1;0
12;20151103;1;0
12;20151104;1;0
12;20151105;1;0
12;20151106;1;0
12;20151107;1;0
12;20151108;1;0
12;20151109;1;0
12;20151110;1;0
12;20151111;1;0
12;20151112;1;0
12;20151113;1;0
12;20151114;1;0
12;20151115;1;0
12;20151116;1;0
12;20151117;1;0
12;20151118;1;0
12;20151119;1;0
12;20151120;1;0
12;20151121;1;0
12;20151122;1;0
12;20151123;1;0
12;20151124;1;0
12;20151028;1;0
12;20151031;1;0
12;20151101;1;0
12;20160305;1;0
12;20160306;1;0
12;20160301;1;0
12;20160302;1;0
12;20160303;1;0
12;20160307;1;0
12;20160308;1;0
12;20160310;1;0
12;20160309;1;0
12;20160311;1;0
12;20160312;1;0
12;20160313;1;0
12;20160314;1;0
12;20160315;1;0
12;20160316;1;0
12;20160317;1;0
12;20160318;1;0
12;20160319;1;0
12;20160320;1;0
12;20160321;1;0
12;20160322;1;0
12;20160323;1;0
12;20160324;1;0
12;20160325;1;0
12;20160326;1;0
12;20190319;1;0
12;20190320;1;0
12;20190321;1;0
12;20190322;1;0
12;20190323;1;0
12;20190324;1;0
12;20190506;1;0
12;20190507;1;0
12;20190508;1;0
12;20190509;1;0
12;20190510;1;0
12;20190511;1;0
12;20190512;1;0
12;20190513;1;0
12;20190514;1;0
12;20190515;1;0
12;20190516;1;0
12;20190517;1;0
12;20190518;1;0
12;20190519;1;0
12;20190520;1;0
12;20190521;1;0
12;20190522;1;0
12;20190523;1;0
12;20190524;1;0
12;20190815;1;0
12;20170511;1;0
12;20170512;1;0
12;20170513;1;0
12;20170514;1;0
12;20170515;1;0
12;20170516;1;0
12;20170517;1;0
12;20170518;1;0
12;20170519;1;0
12;20170520;1;0
12;20170521;1;0
12;20170522;1;0
12;20170523;1;0
12;20170524;1;0
12;20170525;1;0
12;20170526;1;0
12;20170527;1;0
12;20170528;1;0
12;20170529;1;0
12;20170530;1;0
12;20170531;1;0
12;20170601;1;0
12;20170602;1;0
12;20170603;1;0
12;20170727;1;0
12;20170728;1;0
12;20170729;1;0
12;20170730;1;0
12;20170731;1;0
12;20170801;1;0
12;20170802;1;0
12;20170803;1;0
12;20170804;1;0
12;20170805;1;0
12;20170806;1;0
12;20170807;1;0
12;20170808;1;0
12;20170809;1;0
12;20170810;1;0
12;20170811;1;0
12;20170812;1;0
12;20170419;1;0
12;20170420;1;0
12;20170421;1;0
12;20170422;1;0
12;20171010;1;0
12;20171011;1;0
12;20171012;1;0
12;20170615;1;0
12;20170616;1;0
12;20170617;1;0
12;20170618;1;0
12;20170619;1;0
12;20170620;1;0
12;20170621;1;0
12;20170622;1;0
12;20170623;1;0
12;20170624;1;0
12;20170625;1;0
12;20170626;1;0
12;20170627;1;0
12;20170915;1;0
12;20170916;1;0
12;20170917;1;0
12;20170918;1;0
12;20170919;1;0
12;20170920;1;0
12;20170921;1;0
12;20170922;1;0
12;20170923;1;0
12;20170924;1;0
12;20170925;1;0
12;20170926;1;0
12;20170927;1;0
12;20170928;1;0
12;20170929;1;0
12;20170930;1;0
12;20171001;1;0
12;20171002;1;0
12;20171003;1;0
12;20171004;1;0
12;20171005;1;0
12;20171006;1;0
12;20171007;1;0
12;20171008;1;0
12;20171009;1;0
12;20171221;1;0
12;20171222;1;0
12;20171223;1;0
12;20171224;1;0
12;20171225;1;0
12;20171219;1;0
12;20171226;1;0
12;20171227;1;0
12;20171228;1;0
12;20171229;1;0
12;20171230;1;0
12;20180102;1;0
12;20180103;1;0
12;20180104;1;0
12;20180107;1;0
12;20180108;1;0
12;20180109;1;0
12;20180110;1;0
12;20180111;1;0
12;20180112;1;0
12;20180113;1;0
12;20180114;1;0
12;20180115;1;0
12;20180116;1;0
12;20180117;1;0
12;20180506;1;0
12;20180507;1;0
12;20180508;1;0
12;20180509;1;0
12;20180510;1;0
12;20180511;1;0
12;20180512;1;0
12;20180513;1;0
12;20180514;1;0
12;20180515;1;0
12;20180516;1;0
12;20180517;1;0
12;20180518;1;0
12;20180519;1;0
12;20180520;1;0
12;20180521;1;0
12;20180522;1;0
12;20180523;1;0
12;20180524;1;0
12;20180525;1;0
12;20180526;1;0
12;20180527;1;0
12;20180528;1;0
12;20180529;1;0
12;20180530;1;0
12;20180808;1;0
12;20180809;1;0
12;20180810;1;0
12;20180811;1;0
12;20180812;1;0
12;20180813;1;0
12;20180814;1;0
12;20180815;1;0
12;20180816;1;0
12;20180817;1;0
12;20180818;1;0
12;20180819;1;0
12;20180820;1;0
12;20180821;1;0
12;20180822;1;0
12;20180823;1;0
12;20180824;1;0
12;20180825;1;0
12;20180826;1;0
12;20180827;1;0
12;20180828;1;0
12;20180829;1;0
12;20180830;1;0
12;20180831;1;0
12;20180905;1;0
12;20180906;1;0
12;20180907;1;0
12;20180908;1;0
12;20180909;1;0
12;20180910;1;0
12;20180911;1;0
12;20180912;1;0
12;20180913;1;0
12;20180914;1;0
12;20180915;1;0
12;20180916;1;0
12;20180917;1;0
12;20180918;1;0
12;20180919;1;0
12;20180920;1;0
12;20180921;1;0
12;20180922;1;0
12;20180923;1;0
12;20180924;1;0
12;20180925;1;0
12;20181130;1;0
12;20181201;1;0
12;20181202;1;0
12;20181203;1;0
12;20181204;1;0
12;20181205;1;0
12;20181206;1;0
12;20181207;1;0
12;20181208;1;0
12;20181209;1;0
12;20181210;1;0
12;20181211;1;0
12;20181212;1;0
12;20181213;1;0
12;20181214;1;0
12;20181215;1;0
12;20181216;1;0
12;20181217;1;0
12;20181218;1;0
12;20181219;1;0
12;20181220;1;0
12;20181221;1;0
12;20181222;1;0
12;20181223;1;0
12;20181224;1;0
12;20160614;1;0
12;20160615;1;0
12;20160616;1;0
12;20160617;1;0
12;20160618;1;0
12;20160619;1;0
12;20160620;1;0
12;20160621;1;0
12;20160622;1;0
12;20160607;1;0
12;20160612;1;0
12;20160623;1;0
12;20160624;1;0
12;20160706;1;0
12;20160707;1;0
12;20160708;1;0
12;20160709;1;0
12;20160710;1;0
12;20160711;1;0
12;20160625;1;0
12;20160626;1;0
12;20160627;1;0
12;20160628;1;0
12;20160629;1;0
12;20160630;1;0
12;20160928;1;0
12;20160929;1;0
12;20190727;1;0
12;20190728;1;0
12;20190729;1;0
12;20190730;1;0
12;20190731;1;0
12;20190801;1;0
12;20190802;1;0
12;20190803;1;0
12;20190804;1;0
12;20190805;1;0
12;20190806;1;0
12;20190807;1;0
12;20170723;1;0
12;20170724;1;0
12;20170725;1;0
12;20170726;1;0
12;20170818;1;0
12;20170819;1;0
12;20170820;1;0
12;20170821;1;0
12;20170822;1;0
12;20170823;1;0
12;20170824;1;0
12;20170825;1;0
12;20170826;1;0
12;20170827;1;0
12;20170828;1;0
12;20170829;1;0
12;20170830;1;0
12;20170831;1;0
12;20170901;1;0
12;20170905;1;0
12;20170906;1;0
12;20170907;1;0
12;20170908;1;0
12;20170909;1;0
12;20170910;1;0
12;20170911;1;0
12;20170912;1;0
12;20170913;1;0
12;20170914;1;0
12;20171202;1;0
12;20171203;1;0
12;20171204;1;0
12;20171205;1;0
12;20171206;1;0
12;20171207;1;0
12;20171208;1;0
12;20171209;1;0
12;20171210;1;0
12;20171211;1;0
12;20171212;1;0
12;20171213;1;0
12;20171214;1;0
12;20171215;1;0
12;20171216;1;0
12;20171217;1;0
12;20170816;1;0
12;20170902;1;0
12;20170903;1;0
12;20170904;1;0
12;20171125;1;0
12;20171126;1;0
12;20171127;1;0
12;20171218;1;0
12;20171220;1;0
12;20180411;1;0
12;20180412;1;0
12;20180413;1;0
12;20180414;1;0
12;20180415;1;0
12;20180416;1;0
12;20180417;1;0
12;20180418;1;0
12;20180419;1;0
12;20180420;1;0
12;20180421;1;0
12;20180422;1;0
12;20180423;1;0
12;20180424;1;0
12;20180425;1;0
12;20180426;1;0
12;20180427;1;0
12;20180428;1;0
12;20180429;1;0
12;20180430;1;0
12;20180501;1;0
12;20180502;1;0
12;20180503;1;0
12;20180504;1;0
12;20180505;1;0
12;20180316;1;0
12;20180106;1;0
12;20180311;1;0
12;20180312;1;0
12;20180618;1;0
12;20180619;1;0
12;20180620;1;0
12;20180621;1;0
12;20180722;1;0
12;20180723;1;0
12;20180724;1;0
12;20180725;1;0
12;20180726;1;0
12;20180727;1;0
12;20180728;1;0
12;20180729;1;0
12;20180730;1;0
12;20180731;1;0
12;20180801;1;0
12;20180802;1;0
12;20180803;1;0
12;20180804;1;0
12;20180805;1;0
12;20180806;1;0
12;20180807;1;0
12;20181021;1;0
12;20181022;1;0
12;20181023;1;0
12;20181024;1;0
12;20181025;1;0
12;20181026;1;0
12;20181027;1;0
12;20181028;1;0
12;20181029;1;0
12;20181030;1;0
12;20181031;1;0
12;20181101;1;0
12;20181102;1;0
12;20181103;1;0
12;20181104;1;0
12;20181105;1;0
12;20181106;1;0
12;20180630;1;0
12;20180701;1;0
12;20180702;1;0
12;20180703;1;0
12;20180704;1;0
12;20180705;1;0
12;20180706;1;0
12;20180707;1;0
12;20160417;1;0
12;20160418;1;0
12;20160419;1;0
12;20160420;1;0
12;20160421;1;0
12;20160422;1;0
12;20160423;1;0
12;20160424;1;0
12;20160425;1;0
12;20160426;1;0
12;20160427;1;0
12;20160428;1;0
12;20160429;1;0
12;20160430;1;0
12;20160501;1;0
12;20160502;1;0
12;20160503;1;0
12;20160504;1;0
12;20160505;1;0
12;20160329;1;0
12;20160331;1;0
12;20160516;1;0
12;20160517;1;0
12;20160518;1;0
12;20160519;1;0
12;20160812;1;0
12;20160813;1;0
12;20160814;1;0
12;20160822;1;0
12;20160830;1;0
12;20160831;1;0
12;20160901;1;0
12;20160902;1;0
12;20160903;1;0
12;20160904;1;0
12;20160905;1;0
12;20160906;1;0
12;20160907;1;0
12;20160908;1;0
12;20160909;1;0
12;20160910;1;0
12;20160730;1;0
12;20160801;1;0
12;20160803;1;0
12;20170430;1;0
12;20170501;1;0
12;20170502;1;0
12;20170503;1;0
12;20170504;1;0
12;20170505;1;0
12;20170506;1;0
12;20161105;1;0
12;20170417;1;0
12;20170418;1;0
12;20170507;1;0
12;20170508;1;0
12;20170509;1;0
12;20170510;1;0
12;20170813;1;0
12;20170814;1;0
12;20170815;1;0
12;20170817;1;0
12;20171104;1;0
12;20171105;1;0
12;20171106;1;0
12;20171107;1;0
12;20171108;1;0
12;20171109;1;0
12;20171110;1;0
12;20171111;1;0
12;20171112;1;0
12;20171113;1;0
12;20171114;1;0
12;20171115;1;0
12;20171116;1;0
12;20171117;1;0
12;20171118;1;0
12;20171119;1;0
12;20171120;1;0
12;20171121;1;0
12;20171122;1;0
12;20171123;1;0
12;20171124;1;0
12;20171128;1;0
12;20171129;1;0
12;20171130;1;0
12;20171201;1;0
12;20180121;1;0
12;20180122;1;0
12;20180123;1;0
12;20180124;1;0
12;20180125;1;0
12;20180126;1;0
12;20180127;1;0
12;20180128;1;0
12;20180129;1;0
12;20180130;1;0
12;20180131;1;0
12;20180201;1;0
12;20180202;1;0
12;20180203;1;0
12;20180204;1;0
12;20180205;1;0
12;20171231;1;0
12;20180101;1;0
12;20180105;1;0
12;20180206;1;0
12;20180207;1;0
12;20180208;1;0
12;20180531;1;0
12;20180601;1;0
12;20180602;1;0
12;20180603;1;0
12;20180604;1;0
12;20180605;1;0
12;20180606;1;0
12;20180607;1;0
12;20180608;1;0
12;20180609;1;0
12;20180610;1;0
12;20180611;1;0
12;20180612;1;0
12;20180613;1;0
12;20180614;1;0
12;20180615;1;0
12;20180616;1;0
12;20180617;1;0
12;20180209;1;0
12;20180210;1;0
12;20180211;1;0
12;20180212;1;0
12;20180213;1;0
12;20180214;1;0
12;20180215;1;0
12;20180901;1;0
12;20180902;1;0
12;20180903;1;0
12;20180904;1;0
12;20180926;1;0
12;20180927;1;0
12;20180928;1;0
12;20180929;1;0
12;20180930;1;0
12;20181001;1;0
12;20181002;1;0
12;20181003;1;0
12;20181004;1;0
12;20181005;1;0
12;20181006;1;0
12;20181007;1;0
12;20181008;1;0
12;20181009;1;0
12;20181010;1;0
12;20181011;1;0
12;20181012;1;0
12;20181013;1;0
12;20181014;1;0
12;20181015;1;0
12;20181016;1;0
12;20181017;1;0
12;20181018;1;0
12;20181019;1;0
12;20181020;1;0
12;20160507;1;0
12;20160508;1;0
12;20160509;1;0
12;20160510;1;0
12;20160511;1;0
12;20160512;1;0
12;20160513;1;0
12;20160514;1;0
12;20160515;1;0
12;20160401;1;0
12;20160402;1;0
12;20160403;1;0
12;20160404;1;0
12;20160405;1;0
12;20160406;1;0
12;20160407;1;0
12;20160408;1;0
12;20160409;1;0
12;20160410;1;0
12;20160411;1;0
12;20160412;1;0
12;20160413;1;0
12;20160414;1;0
12;20160415;1;0
12;20160416;1;0
12;20160701;1;0
12;20160702;1;0
12;20160703;1;0
12;20160704;1;0
12;20160712;1;0
12;20160713;1;0
12;20160714;1;0
12;20160715;1;0
12;20160716;1;0
12;20160720;1;0
12;20160721;1;0
12;20160722;1;0
12;20160723;1;0
12;20160724;1;0
12;20160725;1;0
12;20160731;1;0
12;20160717;1;0
12;20160718;1;0
12;20160719;1;0
12;20160726;1;0
12;20160727;1;0
12;20160728;1;0
12;20160729;1;0
12;20160802;1;0
12;20160811;1;0
12;20161019;1;0
12;20161020;1;0
12;20161021;1;0
12;20161022;1;0
12;20161023;1;0
12;20161024;1;0
12;20161025;1;0
12;20161026;1;0
12;20161027;1;0
12;20161028;1;0
12;20161029;1;0
12;20161030;1;0
12;20161031;1;0
12;20161101;1;0
12;20161102;1;0
12;20161103;1;0
12;20171013;1;0
12;20171014;1;0
12;20171015;1;0
12;20171016;1;0
12;20171017;1;0
12;20171018;1;0
12;20171019;1;0
12;20171020;1;0
12;20171021;1;0
12;20171022;1;0
12;20171023;1;0
12;20171024;1;0
12;20171025;1;0
12;20171026;1;0
12;20171027;1;0
12;20171028;1;0
12;20171029;1;0
12;20171030;1;0
12;20171031;1;0
12;20171101;1;0
12;20171102;1;0
12;20171103;1;0
12;20180118;1;0
12;20180119;1;0
12;20180120;1;0
12;20180317;1;0
12;20180318;1;0
12;20180319;1;0
12;20180320;1;0
12;20180321;1;0
12;20180322;1;0
12;20180323;1;0
12;20180324;1;0
12;20180325;1;0
12;20180326;1;0
12;20180327;1;0
12;20180328;1;0
12;20180329;1;0
12;20180330;1;0
12;20180331;1;0
12;20180401;1;0
12;20180402;1;0
12;20180403;1;0
12;20180404;1;0
12;20180405;1;0
12;20180406;1;0
12;20180407;1;0
12;20180408;1;0
12;20180409;1;0
12;20180410;1;0
12;20180216;1;0
12;20180217;1;0
12;20180218;1;0
12;20180219;1;0
12;20180220;1;0
12;20180221;1;0
12;20180222;1;0
12;20180223;1;0
12;20180224;1;0
12;20180225;1;0
12;20180226;1;0
12;20180227;1;0
12;20180228;1;0
12;20180301;1;0
12;20180302;1;0
12;20180303;1;0
12;20180304;1;0
12;20180305;1;0
12;20180306;1;0
12;20180307;1;0
12;20180308;1;0
12;20180309;1;0
12;20180310;1;0
12;20180314;1;0
12;20180315;1;0
12;20180708;1;0
12;20180709;1;0
12;20180710;1;0
12;20180711;1;0
12;20180712;1;0
12;20180713;1;0
12;20180714;1;0
12;20180715;1;0
12;20180716;1;0
12;20180717;1;0
12;20180718;1;0
12;20180719;1;0
12;20180720;1;0
12;20180721;1;0
12;20181119;1;0
12;20181120;1;0
12;20181121;1;0
12;20181122;1;0
12;20181123;1;0
12;20181124;1;0
12;20181125;1;0
12;20181126;1;0
12;20181127;1;0
